ISO3,Country,Health_Index,Education_Index,Income_Index
NLD,Netherlands,0.9490353846153845,0.8494897152777778,0.9558155715210706
NOR,Norway,0.9728292307692309,0.8612119355555555,0.9775918341284558
NPL,Nepal,0.745376923076923,0.5002428411666666,0.5525207950380918
NZL,New Zealand,0.9607892307692308,0.8595747152777777,0.9196388436941197
OMN,Oman,0.808316923076923,0.7285425133333333,0.845977348244957
PAK,Pakistan,0.7091984615384614,0.36651889483333333,0.5791146711139538
PAN,Panama,0.8649738461538461,0.6555130269444445,0.8454320485871224
PER,Peru,0.8057984615384617,0.7020347889722223,0.7262420840932214
PHL,Philippines,0.7579446153846154,0.6137686041111111,0.6783805756908284
PLW,Palau,0.7080061538461537,0.7854375,0.7444942290611862
PNG,Papua New Guinea,0.6977015384615385,0.4194658538888889,0.5575516934042041
POL,Poland,0.8685723076923076,0.8108860916666667,0.876141556111082
PRT,Portugal,0.9391430769230771,0.7346435917222222,0.8766918996610911
PRY,Paraguay,0.7732569230769232,0.6069397605,0.7275120969781206
PSE,"Palestine, State of",0.8226569230769232,0.64712474075,0.6324794683353082
QAT,Qatar,0.9118707692307694,0.6287008841666666,1.0
ROU,Romania,0.8336107692307694,0.7084727816666667,0.8617263878330664
RUS,Russian Federation,0.7602923076923076,0.7927960519444444,0.8466013109946243
RWA,Rwanda,0.7088030769230769,0.43489618716666667,0.4675907408996438
SAU,Saudi Arabia,0.8759384615384617,0.7623894480555555,0.9265227727605526
SDN,Sudan,0.6964107692307693,0.32681077383333335,0.5402664801357947
SEN,Senegal,0.7245015384615385,0.3306024484444445,0.5301823595409286
SGP,Singapore,0.965453846153846,0.7902555730555556,1.0
SLB,Solomon Islands,0.77458,0.4455705075,0.4851083647448551
SLE,Sierra Leone,0.6163446153846154,0.3930408993055555,0.4208328836322874
SLV,El Salvador,0.7807369230769231,0.5506188221666667,0.6674123006684335
SMR,San Marino,0.9365938461538462,0.6407666736111111,0.946564152611439
SRB,Serbia,0.8337276923076924,0.7158322336111111,0.7935680112089487
SSD,South Sudan,0.53808,0.31301805616666667,0.30790326652762273
STP,Sao Tome and Principe,0.7321723076923077,0.5439162359722223,0.5580305304130747
SUR,Suriname,0.7734507692307692,0.6336790055555556,0.7314112073616845
SVK,Slovakia,0.8447707692307692,0.7617905405555556,0.8650263528790704
SVN,Slovenia,0.9336984615384615,0.84607225,0.9040828723949083
SWE,Sweden,0.9689738461538462,0.8502700063888888,0.951740351926153
SWZ,Eswatini,0.5702415384615385,0.5372318294444445,0.655736143399593
SYC,Seychelles,0.7891461538461538,0.6729091761111111,0.8389855281851111
SYR,Syrian Arab Republic,0.8009646153846155,0.39622832933333335,0.5643060361332115
TCD,Chad,0.5003907692307692,0.29471357066666665,0.3947283918456372
TGO,Togo,0.6402984615384615,0.4990916985277778,0.4646101204088601
THA,Thailand,0.9033138461538462,0.6827594123055555,0.7760594848467903
TJK,Tajikistan,0.7937569230769231,0.6385119438888889,0.576612359689361
TKM,Turkmenistan,0.757913846153846,0.6797719341666666,0.7355094921576503
TLS,Timor-Leste,0.7344138461538462,0.5014691111111111,0.5736989096833663
TON,Tonga,0.7843953846153845,0.7622545730555556,0.6378694352779357
TTO,Trinidad and Tobago,0.8149369230769231,0.7262799197222223,0.8240060037527739
TUN,Tunisia,0.82726,0.6349161348333333,0.6994784586916866
TUR,Turkey,0.862036923076923,0.7398094336111112,0.8667018713837059
TUV,Tuvalu,0.6853323076923077,0.5549316033333334,0.6270725227128636
TZA,Tanzania,0.71078,0.4331774615555556,0.4958460835960105
UGA,Uganda,0.656996923076923,0.44113365294444445,0.4656396698579728
UKR,Ukraine,0.7942153846153845,0.7246663602777778,0.738209116157444
URY,Uruguay,0.8528553846153846,0.7170874807500001,0.8096330591284016
USA,United States,0.8799723076923077,0.8323446911111112,0.9778371848923127
UZB,Uzbekistan,0.7824861538461538,0.677020285,0.6603507600684151
VCT,Saint Vincent and the Grenadines,0.7635246153846152,0.7084898877777779,0.7226874463972582
VEN,Venezuela,0.7777476923076924,0.6645377044444445,0.5851091878480452
VNM,Viet Nam,0.8248938461538461,0.5922836879444444,0.6594049573037564
VUT,Vanuatu,0.7761384615384616,0.5166711397222222,0.5180109139182274
WSM,Samoa,0.8118076923076922,0.6617405411111111,0.5999618586404739
YEM,Yemen,0.6731292307692307,0.341630835,0.38909941549673605
ZAF,South Africa,0.6514,0.6949130694444444,0.7346678962236791
ZMB,Zambia,0.6342061538461539,0.5032181028888889,0.5243556763028444
ZWE,Zimbabwe,0.6038938461538462,0.57838548725,0.549870756833983
